Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression,,,,2021-12-09 14:16:30,2021-12-09 14:18:50,2m - 19.887s,PASSED
,,,,,,,
Test Cases/First test/Login Email,,,,2021-12-09 14:16:30,2021-12-09 14:17:27,56.871s,PASSED
"startExistingApplication(""com.gigantic.clawee"")",,,,2021-12-09 14:16:31,2021-12-09 14:16:56,25.143s,PASSED
"tap(findTestObject(""First test/Login email/Connect with E-mail""), 0)",,,,2021-12-09 14:16:56,2021-12-09 14:16:57,1.191s,PASSED
"setText(findTestObject(""First test/Login email/First name""), ""Alexander"", 0)",,,,2021-12-09 14:16:57,2021-12-09 14:16:59,1.610s,PASSED
"setText(findTestObject(""First test/Login email/Last name""), ""Testing"", 0)",,,,2021-12-09 14:16:59,2021-12-09 14:17:00,1.724s,PASSED
"setText(findTestObject(""First test/Login email/E-mail""), ""alex.qa.eng+55@gmail.com"", 0)",,,,2021-12-09 14:17:00,2021-12-09 14:17:03,2.186s,PASSED
"setText(findTestObject(""First test/Login email/Password""), ""Alex0611"", 0)",,,,2021-12-09 14:17:03,2021-12-09 14:17:05,1.926s,PASSED
"sendKeys(findTestObject(""First test/Login email/Next""), ""Next"")",,,,2021-12-09 14:17:05,2021-12-09 14:17:26,21.806s,PASSED
"tap(findTestObject(""First test/Login email/Sign Up""), 0)",,,,2021-12-09 14:17:26,2021-12-09 14:17:27,1.006s,PASSED
,,,,,,,
Test Cases/First test/6 Weclome screens,,,,2021-12-09 14:17:27,2021-12-09 14:17:52,25.098s,PASSED
"tap(findTestObject(""First test/Login guest/Next welcome pop up""), 0)",,,,2021-12-09 14:17:28,2021-12-09 14:17:36,8.452s,PASSED
"tap(findTestObject(""First test/Login guest/Next welcome pop up""), 0)",,,,2021-12-09 14:17:36,2021-12-09 14:17:38,2.390s,PASSED
"tap(findTestObject(""First test/Login guest/Next welcome pop up""), 0)",,,,2021-12-09 14:17:38,2021-12-09 14:17:40,1.766s,PASSED
"tap(findTestObject(""First test/Login guest/Next welcome pop up""), 0)",,,,2021-12-09 14:17:40,2021-12-09 14:17:42,2.353s,PASSED
"tap(findTestObject(""First test/Login guest/Next welcome pop up""), 0)",,,,2021-12-09 14:17:42,2021-12-09 14:17:45,2.601s,PASSED
"tap(findTestObject(""First test/Login guest/Lets Go welcom pop up""), 0)",,,,2021-12-09 14:17:45,2021-12-09 14:17:48,2.473s,PASSED
"tap(findTestObject(""First test/Login guest/popup close button""), 0)",,,,2021-12-09 14:17:48,2021-12-09 14:17:50,2.402s,PASSED
"tap(findTestObject(""First test/Login guest/Lets go (Play for real)""), 0)",,,,2021-12-09 14:17:50,2021-12-09 14:17:52,2.496s,PASSED
,,,,,,,
Test Cases/Lobby/Lobby,,,,2021-12-09 14:17:52,2021-12-09 14:18:39,46.774s,PASSED
"tap(findTestObject(""First test/Lobby/Freebie Shop""), 0)",,,,2021-12-09 14:17:53,2021-12-09 14:17:55,2.229s,PASSED
"tap(findTestObject(""First test/Lobby/iconHome""), 0)",,,,2021-12-09 14:17:55,2021-12-09 14:17:58,2.822s,PASSED
"tap(findTestObject(""First test/Lobby/Free rounds""), 0)",,,,2021-12-09 14:17:58,2021-12-09 14:18:00,1.914s,PASSED
"tap(findTestObject(""First test/Lobby/iconHome""), 0)",,,,2021-12-09 14:18:00,2021-12-09 14:18:02,2.317s,PASSED
"tap(findTestObject(""First test/Lobby/Prizes""), 0)",,,,2021-12-09 14:18:02,2021-12-09 14:18:04,2.210s,PASSED
"tap(findTestObject(""First test/Lobby/iconHome""), 0)",,,,2021-12-09 14:18:04,2021-12-09 14:18:05,1.044s,PASSED
